"","Gene_name","tissue","value","family"
"1","Orco___FeAnSF","FeAnSF",3553.89553385327,"Or"
"2","Or84___FeAnSF","FeAnSF",228.847919265247,"Or"
"3","Or11___FeAnSF","FeAnSF",163.422315645977,"Or"
"4","Ir25a___FeAnSF","FeAnSF",156.431470719556,"Ir"
"5","Or113___FeAnSF","FeAnSF",152.439600097627,"Or"
"6","Ir76b___FeAnSF","FeAnSF",132.130357240984,"Ir"
"7","Or4___FeAnSF","FeAnSF",111.977229064754,"Or"
"8","Or87___FeAnSF","FeAnSF",111.217188609111,"Or"
"9","Or104___FeAnSF","FeAnSF",88.7225270083115,"Or"
"10","Or111___FeAnSF","FeAnSF",75.753753855822,"Or"
"11","Or47___FeAnSF","FeAnSF",71.1699201695667,"Or"
"12","Or52___FeAnSF","FeAnSF",69.2737218974714,"Or"
"13","Or100___FeAnSF","FeAnSF",64.0423337256338,"Or"
"14","Or71___FeAnSF","FeAnSF",61.6409737152739,"Or"
"15","Or29___FeAnSF","FeAnSF",56.9766414965366,"Or"
"16","Or38___FeAnSF","FeAnSF",55.8166451334474,"Or"
"17","Or59___FeAnSF","FeAnSF",52.5382802823739,"Or"
"18","Or88___FeAnSF","FeAnSF",49.9125303955326,"Or"
"19","Or103___FeAnSF","FeAnSF",49.4366195269925,"Or"
"20","Or112___FeAnSF","FeAnSF",49.2154179692485,"Or"
"21","Or132___FeAnSF","FeAnSF",48.6004677349511,"Or"
"22","Ir8a___FeAnSF","FeAnSF",48.2201629909483,"Ir"
"23","Or105___FeAnSF","FeAnSF",42.9987654636558,"Or"
"24","Or79___FeAnSF","FeAnSF",40.7208854761139,"Or"
"25","Or82___FeAnSF","FeAnSF",37.3964637536878,"Or"
"26","Or69___FeAnSF","FeAnSF",36.5618322771207,"Or"
"27","Or16___FeAnSF","FeAnSF",35.2700419374486,"Or"
"28","Or94___FeAnSF","FeAnSF",31.3366252736256,"Or"
"29","Ir41c___FeAnSF","FeAnSF",30.7627061820987,"Ir"
"30","Or10___FeAnSF","FeAnSF",29.3703969270281,"Or"
"31","Or36___FeAnSF","FeAnSF",27.5692314033484,"Or"
"32","Or13___FeAnSF","FeAnSF",27.2469028040164,"Or"
"33","Ir87a2___FeAnSF","FeAnSF",25.2795146738999,"Ir"
"34","Or31___FeAnSF","FeAnSF",24.2962310940198,"Or"
"35","Ir75e___FeAnSF","FeAnSF",22.9976036784721,"Ir"
"36","Or27___FeAnSF","FeAnSF",22.3303589356191,"Or"
"37","Or23___FeAnSF","FeAnSF",22.3152035622202,"Or"
"38","Or2___FeAnSF","FeAnSF",22.0682999854445,"Or"
"39","Ir41f___FeAnSF","FeAnSF",21.4994196537751,"Ir"
"40","Ir41p___FeAnSF","FeAnSF",20.5755717214209,"Ir"
"41","Or30___FeAnSF","FeAnSF",20.0490039412789,"Or"
"42","Or91___FeAnSF","FeAnSF",19.9209985908578,"Or"
"43","Or85___FeAnSF","FeAnSF",19.8646070492872,"Or"
"44","Or64___FeAnSF","FeAnSF",19.2204059452653,"Or"
"45","Or122___FeAnSF","FeAnSF",19.1369580007633,"Or"
"46","Ir41l___FeAnSF","FeAnSF",18.456351856771,"Ir"
"47","Ir75c___FeAnSF","FeAnSF",17.4328581044764,"Ir"
"48","Or121___FeAnSF","FeAnSF",16.9672680061271,"Or"
"49","Or63___FeAnSF","FeAnSF",15.317838654294,"Or"
"50","Or26___FeAnSF","FeAnSF",14.9922956736735,"Or"
"51","Or80___FeAnSF","FeAnSF",14.4826364078602,"Or"
"52","Or78___FeAnSF","FeAnSF",13.8488794367705,"Or"
"53","Or72___FeAnSF","FeAnSF",13.8399008879555,"Or"
"54","Or97___FeAnSF","FeAnSF",13.8028190904111,"Or"
"55","Or115___FeAnSF","FeAnSF",13.4099031123616,"Or"
"56","Or110___FeAnSF","FeAnSF",13.220884895704,"Or"
"57","Ir41o___FeAnSF","FeAnSF",13.2009296691649,"Ir"
"58","Ir41a___FeAnSF","FeAnSF",12.3340457857514,"Ir"
"59","Or125___FeAnSF","FeAnSF",12.0294484086074,"Or"
"60","Ir41b___FeAnSF","FeAnSF",11.7921836319385,"Ir"
"61","Ir75g___FeAnSF","FeAnSF",11.5974876885484,"Ir"
"62","Or50___FeAnSF","FeAnSF",11.5077412942246,"Or"
"63","Ir41k___FeAnSF","FeAnSF",11.1674425659869,"Ir"
"64","Or6___FeAnSF","FeAnSF",11.0825733437045,"Or"
"65","Or15___FeAnSF","FeAnSF",11.0649198747934,"Or"
"66","Ir75a___FeAnSF","FeAnSF",10.75930301753,"Ir"
"67","Or14___FeAnSF","FeAnSF",9.82437285412027,"Or"
"68","Or81___FeAnSF","FeAnSF",9.49382151995177,"Or"
"69","Ir87a1___FeAnSF","FeAnSF",9.35305464143988,"Ir"
"70","Or54___FeAnSF","FeAnSF",9.30544357329677,"Or"
"71","Or41___FeAnSF","FeAnSF",9.14320723403346,"Or"
"72","Or116___FeAnSF","FeAnSF",9.11666296022902,"Or"
"73","Ir75f___FeAnSF","FeAnSF",8.81724768697302,"Ir"
"74","Or45___FeAnSF","FeAnSF",8.81538334582575,"Or"
"75","Ir75d___FeAnSF","FeAnSF",8.63612598888866,"Ir"
"76","Ir93a___FeAnSF","FeAnSF",7.77800781012371,"Ir"
"77","Ir75b___FeAnSF","FeAnSF",7.5749766285521,"Ir"
"78","Ir75k___FeAnSF","FeAnSF",7.54115134675358,"Ir"
"79","Or95___FeAnSF","FeAnSF",7.53759815230235,"Or"
"80","Or51___FeAnSF","FeAnSF",7.35354441723195,"Or"
"81","Or44___FeAnSF","FeAnSF",7.19083243641312,"Or"
"82","Or32___FeAnSF","FeAnSF",6.90950370479043,"Or"
"83","Or28___FeAnSF","FeAnSF",6.8767052875008,"Or"
"84","Or62___FeAnSF","FeAnSF",6.30189529110601,"Or"
"85","Or22___FeAnSF","FeAnSF",6.19426911805337,"Or"
"86","Or55___FeAnSF","FeAnSF",6.00168163503811,"Or"
"87","Or25___FeAnSF","FeAnSF",5.65486509717446,"Or"
"88","Ir40a___FeAnSF","FeAnSF",5.44885409727333,"Ir"
"89","Or131___FeAnSF","FeAnSF",5.29938393392241,"Or"
"90","Or118___FeAnSF","FeAnSF",5.23381720158955,"Or"
"91","Or33___FeAnSF","FeAnSF",5.18506937184756,"Or"
"92","Or76___FeAnSF","FeAnSF",4.98266065086869,"Or"
"93","Gr15___FeAnSF","FeAnSF",4.9540087854411,"Gr"
"94","Or24___FeAnSF","FeAnSF",4.93609121601336,"Or"
"95","Ir31a1___FeAnSF","FeAnSF",4.88331237838538,"Ir"
"96","Or130___FeAnSF","FeAnSF",4.80016458759561,"Or"
"97","Ir75h___FeAnSF","FeAnSF",4.58582834015752,"Ir"
"98","Or102___FeAnSF","FeAnSF",4.53358639107987,"Or"
"99","Or86___FeAnSF","FeAnSF",4.42286181509073,"Or"
"100","Or101___FeAnSF","FeAnSF",4.42033461639668,"Or"
